Model,CV_R2_mean,CV_R2_std,Correlation,MAE,RMSE,R2
Linear Regression,0.04720044434508954,0.008682098687619466,0.19327924901653148,40.98348180302025,71.23451243717864,0.010150318609202902
LASSO Regression,0.04534848391517872,0.009617845998696783,0.1894351349659549,41.038317268247816,71.25124351038313,0.009685285809505895
RIDGE Regression,0.045361659098781294,0.009615568029111123,0.18940509897100424,41.03781297491758,71.25121030422285,0.009686208868244228
ElasticNet Regression,0.04540750006030092,0.009620751737138953,0.18930138063975424,41.03223633687086,71.24831694545492,0.00976663627153529
Polynomial Regression (deg=2),0.12482444151855912,0.10311458617598504,0.3589473432812244,44.426518166819086,73.03313772730937,-0.040466866416931424
Random Forest Regressor,0.5117108120885862,0.06524253375607267,0.6964647005144237,25.053318670687098,52.249858791830306,0.4674522213245492
