Model,CV_R2_mean,CV_R2_std,Correlation,MAE,RMSE,R2
Linear Regression,0.027925000459611927,0.018497978265334707,0.193220217154799,40.491993295550614,70.68448486577095,0.025377282908873644
LASSO Regression,0.02796383395295545,0.018478464130484963,0.19318631712815676,40.493835530967544,70.68523213477376,0.025356675580488153
RIDGE Regression,0.027965401316769323,0.018476243231392565,0.19319258358051114,40.493746177248894,70.68506923937511,0.02536116774172581
ElasticNet Regression,0.027971251752849136,0.01846502240279842,0.19317564060660056,40.49328972179911,70.68476029965568,0.025369687334126922
Polynomial Regression (deg=2),0.06453270437507037,0.03352231529860957,0.22256107371555972,41.16927375216551,72.2175710060124,-0.01735866779011075
Random Forest Regressor,0.38170790576857505,0.08079168363736362,0.67160506243598,25.819800632049265,53.45634469430865,0.44257447344985534
