Model,CV_R2_mean,CV_R2_std,Correlation,MAE,RMSE,R2
Linear Regression,0.04999543287126984,0.013548519732960661,0.22015260449010687,40.71693651248366,70.7569409161549,0.02337815943994248
LASSO Regression,0.0477485043742051,0.013635674266711915,0.21540734678545703,40.66495936911652,70.77409100957331,0.0229046741417811
RIDGE Regression,0.047762145924387454,0.013643687574930393,0.21539827711153536,40.66432431697567,70.77388275969828,0.02291042425957779
ElasticNet Regression,0.04782928433863145,0.013669373388196602,0.21528876242514067,40.658976840399745,70.77230963857014,0.022953860146181504
Polynomial Regression (deg=2),0.1482232953652963,0.055237971600771936,0.29546263907846493,45.664230253434425,86.97224021106115,-0.47553545257670926
Random Forest Regressor,0.4739322600672244,0.05803783438207289,0.733491667144434,23.965487902540346,48.83395933465906,0.5348080296389351
